TimeStamp	StaticAnalyzerTool	ErrorMsg	ErrorType	ErrorCertainty	FilePath	FileName	LineNumber	ErrorCount	
2019-09-19 11:25:36 AM	NDepend	# Blocker/Critical/High Issues	NA	NA	NA	NA	NA	5	
2019-09-19 11:25:36 AM	NDepend	# Issues	NA	NA	NA	NA	NA	25	
2019-09-19 11:25:36 AM	NDepend	# Suppressed Issues	NA	NA	NA	NA	NA	0	
2019-09-19 11:25:36 AM	NDepend	# Rules	NA	NA	NA	NA	NA	152	
2019-09-19 11:25:36 AM	NDepend	# Rules Violated	NA	NA	NA	NA	NA	14	
2019-09-19 11:25:36 AM	NDepend	# Critical Rules Violated	NA	NA	NA	NA	NA	1	
2019-09-19 11:25:36 AM	NDepend	# Quality Gates	NA	NA	NA	NA	NA	11	
2019-09-19 11:25:36 AM	NDepend	# Quality Gates Warn	NA	NA	NA	NA	NA	0	
2019-09-19 11:25:36 AM	NDepend	# Quality Gates Fail	NA	NA	NA	NA	NA	1	
2019-09-19 11:25:36 AM	NDepend	Percentage Debt (Metric)	NA	NA	NA	NA	NA	10.65	
2019-09-19 11:25:36 AM	NDepend	Debt (Metric)	NA	NA	NA	NA	NA	0.34506	
2019-09-19 11:25:36 AM	NDepend	New Debt since Baseline (Metric)	NA	NA	NA	NA	NA	0	
2019-09-19 11:25:36 AM	NDepend	Annual Interest (Metric)	NA	NA	NA	NA	NA	0.3887	
2019-09-19 11:25:36 AM	NDepend	New Annual Interest since Baseline (Metric)	NA	NA	NA	NA	NA	0	
2019-09-19 11:25:36 AM	NDepend	Breaking Point	NA	NA	NA	NA	NA	0.88772	
2019-09-19 11:25:36 AM	NDepend	Breaking Point of Blocker / Critical / High Issues	NA	NA	NA	NA	NA	0.57547	
2019-09-19 11:25:36 AM	NDepend	# Lines of Code	NA	NA	NA	NA	NA	139	
2019-09-19 11:25:36 AM	NDepend	# Lines of Code (JustMyCode)	NA	NA	NA	NA	NA	139	
2019-09-19 11:25:36 AM	NDepend	# Lines of Code (NotMyCode)	NA	NA	NA	NA	NA	0	
2019-09-19 11:25:36 AM	NDepend	# Lines of Code Added since the Baseline	NA	NA	NA	NA	NA	0	
2019-09-19 11:25:36 AM	NDepend	# Source Files	NA	NA	NA	NA	NA	10	
2019-09-19 11:25:36 AM	NDepend	# IL Instructions	NA	NA	NA	NA	NA	818	
2019-09-19 11:25:36 AM	NDepend	# IL Instructions (NotMyCode)	NA	NA	NA	NA	NA	8	
2019-09-19 11:25:36 AM	NDepend	# Lines of Comments	NA	NA	NA	NA	NA	25	
2019-09-19 11:25:36 AM	NDepend	Percentage of Comments	NA	NA	NA	NA	NA	15.24	
2019-09-19 11:25:36 AM	NDepend	# Assemblies	NA	NA	NA	NA	NA	1	
2019-09-19 11:25:36 AM	NDepend	# Namespaces	NA	NA	NA	NA	NA	1	
2019-09-19 11:25:36 AM	NDepend	# Types	NA	NA	NA	NA	NA	10	
2019-09-19 11:25:36 AM	NDepend	# Public Types	NA	NA	NA	NA	NA	3	
2019-09-19 11:25:36 AM	NDepend	# Classes	NA	NA	NA	NA	NA	8	
2019-09-19 11:25:36 AM	NDepend	# Abstract Classes	NA	NA	NA	NA	NA	0	
2019-09-19 11:25:36 AM	NDepend	# Interfaces	NA	NA	NA	NA	NA	1	
2019-09-19 11:25:36 AM	NDepend	# Structures	NA	NA	NA	NA	NA	1	
2019-09-19 11:25:36 AM	NDepend	# Methods	NA	NA	NA	NA	NA	18	
2019-09-19 11:25:36 AM	NDepend	# Abstract Methods	NA	NA	NA	NA	NA	2	
2019-09-19 11:25:36 AM	NDepend	# Concrete Methods	NA	NA	NA	NA	NA	16	
2019-09-19 11:25:36 AM	NDepend	# Fields	NA	NA	NA	NA	NA	8	
2019-09-19 11:25:36 AM	NDepend	Max # Lines of Code for Methods (JustMyCode)	NA	NA	NA	NA	NA	39	
2019-09-19 11:25:36 AM	NDepend	Average # Lines of Code for Methods	NA	NA	NA	NA	NA	8.69	
2019-09-19 11:25:36 AM	NDepend	Average # Lines of Code for Methods with at least 3 Lines of Code	NA	NA	NA	NA	NA	13.3	
2019-09-19 11:25:36 AM	NDepend	Max # Lines of Code for Types (JustMyCode)	NA	NA	NA	NA	NA	39	
2019-09-19 11:25:36 AM	NDepend	Average # Lines of Code for Types	NA	NA	NA	NA	NA	17.38	
2019-09-19 11:25:36 AM	NDepend	Max Cyclomatic Complexity for Methods	NA	NA	NA	NA	NA	5	
2019-09-19 11:25:36 AM	NDepend	Average Cyclomatic Complexity for Methods	NA	NA	NA	NA	NA	1.81	
2019-09-19 11:25:36 AM	NDepend	Max IL Cyclomatic Complexity for Methods	NA	NA	NA	NA	NA	28	
2019-09-19 11:25:36 AM	NDepend	Average IL Cyclomatic Complexity for Methods	NA	NA	NA	NA	NA	4.06	
2019-09-19 11:25:36 AM	NDepend	Max IL Nesting Depth for Methods	NA	NA	NA	NA	NA	6	
2019-09-19 11:25:36 AM	NDepend	Average IL Nesting Depth for Methods	NA	NA	NA	NA	NA	0.83333	
2019-09-19 11:25:36 AM	NDepend	Max # of Methods for Types	NA	NA	NA	NA	NA	5	
2019-09-19 11:25:36 AM	NDepend	Average # Methods for Types	NA	NA	NA	NA	NA	2	
2019-09-19 11:25:36 AM	NDepend	Max # of Methods for Interfaces	NA	NA	NA	NA	NA	2	
2019-09-19 11:25:36 AM	NDepend	Average # Methods for Interfaces	NA	NA	NA	NA	NA	2	
2019-09-19 11:25:36 AM	NDepend	# Lines of Code Uncoverable	NA	NA	NA	NA	NA	0	
2019-09-19 11:25:36 AM	NDepend	# Third-Party Assemblies Used	NA	NA	NA	NA	NA	5	
2019-09-19 11:25:36 AM	NDepend	# Third-Party Namespaces Used	NA	NA	NA	NA	NA	14	
2019-09-19 11:25:36 AM	NDepend	# Third-Party Types Used	NA	NA	NA	NA	NA	62	
2019-09-19 11:25:36 AM	NDepend	# Third-Party Methods Used	NA	NA	NA	NA	NA	60	
2019-09-19 11:25:36 AM	NDepend	# Third-Party Fields Used	NA	NA	NA	NA	NA	1	
2019-09-19 11:25:36 AM	NDepend	# Rules Violations	NA	NA	NA	NA	NA	25	
2019-09-19 11:25:36 AM	NDepend	# Critical Rules	NA	NA	NA	NA	NA	21	
2019-09-19 11:25:36 AM	NDepend	# Critical Rules Violations	NA	NA	NA	NA	NA	1	
