TimeStamp,StaticAnalyzerTool,ErrorMsg,ErrorType,ErrorCertainty,FilePath,FileName,LineNumber,ErrorCount,
2019-09-19 12:41:20 PM,FxCop,Parameter 'args' of 'Program.Main(string[])' is never used. Remove the parameter or use it in the method body.,NA,95,C:\Users\320050765\StaticAnalysisTool\StaticAnalyzerTool\StaticAnalyzerTool,Program.cs,16,NA,
2019-09-19 12:41:20 PM,FxCop,Modify 'XmlParser.XmlParse(string; string)' to catch a more specific exception than 'Exception' or rethrow the exception.,NA,95,C:\Users\320050765\StaticAnalysisTool\StaticAnalyzerTool\StaticAnalyzerTool,XmlParser.cs,27,NA,
2019-09-19 12:41:20 PM,FxCop,Modify 'XmlWriter.EditSolutionName(string; string; string; string)' to catch a more specific exception than 'Exception' or rethrow the exception.,NA,95,C:\Users\320050765\StaticAnalysisTool\StaticAnalyzerTool\StaticAnalyzerTool,XmlWriter.cs,24,NA,
2019-09-19 12:41:20 PM,FxCop,In member 'XmlWriter.EditSolutionName(string; string; string; string)'; correct the casing of 'Attribute' in parameter name 'AttributeName' by changing it to 'attribute'.,MemberParameter,85,C:\Users\320050765\StaticAnalysisTool\StaticAnalyzerTool\StaticAnalyzerTool,XmlWriter.cs,13,NA,
2019-09-19 12:41:20 PM,FxCop,In member 'XmlWriter.EditSolutionName(string; string; string; string)'; correct the casing of 'Element' in parameter name 'ElementName' by changing it to 'element'.,MemberParameter,85,C:\Users\320050765\StaticAnalysisTool\StaticAnalyzerTool\StaticAnalyzerTool,XmlWriter.cs,13,NA,
2019-09-19 12:41:20 PM,FxCop,In member 'XmlWriter.EditSolutionName(string; string; string; string)'; correct the casing of 'Solution' in parameter name 'SolutionPath' by changing it to 'solution'.,MemberParameter,85,C:\Users\320050765\StaticAnalysisTool\StaticAnalyzerTool\StaticAnalyzerTool,XmlWriter.cs,13,NA,
2019-09-19 12:41:20 PM,FxCop,In member 'XmlWriter.EditSolutionName(string; string; string; string)'; correct the casing of 'Xml' in parameter name 'XmlPath' by changing it to 'xml'.,MemberParameter,85,C:\Users\320050765\StaticAnalysisTool\StaticAnalyzerTool\StaticAnalyzerTool,XmlWriter.cs,13,NA,
2019-09-19 12:41:20 PM,NDepend,# New Issues since Baseline,NA,NA,NA,NA,NA,0,
2019-09-19 12:41:20 PM,NDepend,# Issues Fixed since Baseline,NA,NA,NA,NA,NA,0,
2019-09-19 12:41:20 PM,NDepend,# Issues Worsened since Baseline,NA,NA,NA,NA,NA,0,
2019-09-19 12:41:20 PM,NDepend,# Issues with severity Blocker,NA,NA,NA,NA,NA,0,
2019-09-19 12:41:20 PM,NDepend,# Issues with severity Critical,NA,NA,NA,NA,NA,0,
2019-09-19 12:41:20 PM,NDepend,# Issues with severity High,NA,NA,NA,NA,NA,5,
2019-09-19 12:41:20 PM,NDepend,# Issues with severity Medium,NA,NA,NA,NA,NA,15,
2019-09-19 12:41:20 PM,NDepend,# Issues with severity Low,NA,NA,NA,NA,NA,5,
2019-09-19 12:41:20 PM,NDepend,# Blocker/Critical/High Issues,NA,NA,NA,NA,NA,5,
